epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,5110.65,1.52345,1.2451,2.06001,0.75235,0.8422,0.81112,0.49927,1.28148,1.33369,1.83991,0.0015446,0.0015446,0.0015446
71,5182.44,1.46405,1.20245,2.00083,0.85058,0.93069,0.93726,0.60065,1.23738,1.01286,1.83267,0.001538,0.001538,0.001538
72,5255.03,1.52008,1.20525,2.06344,0.89335,0.86139,0.93294,0.60606,1.27858,1.00678,1.89856,0.0015314,0.0015314,0.0015314
73,5327.35,1.55246,1.21806,2.0352,0.88084,0.89109,0.93873,0.60911,1.24378,1.13884,1.81474,0.0015248,0.0015248,0.0015248
74,5399.39,1.47662,1.13494,1.97179,0.91541,0.91079,0.95674,0.62154,1.27064,0.92622,1.86891,0.0015182,0.0015182,0.0015182
75,5471.78,1.478,1.19571,2.04156,0.91476,0.91089,0.94038,0.62373,1.21931,0.9408,1.84807,0.0015116,0.0015116,0.0015116
76,5544.51,1.50498,1.27522,1.98755,0.9152,0.90829,0.95093,0.65088,1.16669,0.96769,1.74838,0.001505,0.001505,0.001505
77,5616.32,1.42598,1.27211,1.96437,0.82715,0.85284,0.90048,0.59054,1.25741,1.12083,1.7817,0.0014984,0.0014984,0.0014984
78,5688.54,1.43045,1.19918,1.96948,0.93418,0.91346,0.96141,0.66992,1.12037,0.86613,1.6834,0.0014918,0.0014918,0.0014918
79,5760.54,1.45524,1.11859,1.95148,0.95468,0.95545,0.97834,0.66949,1.17413,0.79043,1.73529,0.0014852,0.0014852,0.0014852
80,5832.7,1.4243,1.12024,1.95873,0.93262,0.89072,0.96236,0.64049,1.23263,0.86805,1.80235,0.0014786,0.0014786,0.0014786
81,5905.57,1.43546,1.13952,1.95541,0.91974,0.91089,0.96078,0.65948,1.14354,1.02274,1.68881,0.001472,0.001472,0.001472
82,5978.4,1.35749,1.06835,1.86606,0.87039,0.90594,0.93486,0.63858,1.15291,1.0955,1.68732,0.0014654,0.0014654,0.0014654
83,6050.52,1.33528,1.08216,1.81986,0.93014,0.90594,0.964,0.66916,1.15303,0.8391,1.69004,0.0014588,0.0014588,0.0014588
84,6122.9,1.42667,1.06782,1.8866,0.91467,0.90217,0.95994,0.64752,1.19341,0.86991,1.7325,0.0014522,0.0014522,0.0014522
85,6194.85,1.39177,1.08298,1.92192,0.92853,0.92574,0.97063,0.67091,1.17268,0.84148,1.71032,0.0014456,0.0014456,0.0014456
86,6267.1,1.49114,1.1689,1.9987,0.93686,0.87129,0.95874,0.61958,1.23998,0.95993,1.75427,0.001439,0.001439,0.001439
87,6340.22,1.40076,1.0361,1.9239,0.96883,0.92334,0.97295,0.67532,1.12439,0.83978,1.70967,0.0014324,0.0014324,0.0014324
88,6413.16,1.31805,1.01759,1.85525,0.9645,0.94162,0.97321,0.68022,1.10216,0.79028,1.68513,0.0014258,0.0014258,0.0014258
89,6485.71,1.40917,1.08954,1.88457,0.92768,0.92574,0.96503,0.67757,1.11109,0.84937,1.68239,0.0014192,0.0014192,0.0014192
90,6558.47,1.3451,1.07538,1.84787,0.94638,0.92574,0.96428,0.67266,1.13248,0.85669,1.69197,0.0014126,0.0014126,0.0014126
91,6630.24,1.39423,1.04477,1.8978,0.94066,0.92574,0.97459,0.64142,1.24621,0.81925,1.85815,0.001406,0.001406,0.001406
92,6702.65,1.37934,1.01777,1.89141,0.91522,0.90847,0.95184,0.67048,1.11089,0.82308,1.65479,0.0013994,0.0013994,0.0013994
93,6774.18,1.36021,1.00299,1.83436,0.87794,0.92577,0.95061,0.66466,1.13316,0.83281,1.66594,0.0013928,0.0013928,0.0013928
94,6846.23,1.39627,1.04577,1.86672,0.95363,0.91629,0.97488,0.68193,1.1144,0.75168,1.71908,0.0013862,0.0013862,0.0013862
95,6917.41,1.39704,0.98705,1.88674,0.91997,0.91055,0.96803,0.67699,1.10818,0.85055,1.66738,0.0013796,0.0013796,0.0013796
96,6988.23,1.40058,1.03609,1.8775,0.91275,0.94554,0.96967,0.68164,1.09045,0.78672,1.61999,0.001373,0.001373,0.001373
97,7058.92,1.36512,1.00397,1.85796,0.94927,0.89109,0.96119,0.66458,1.15556,0.83608,1.69218,0.0013664,0.0013664,0.0013664
98,7130.42,1.32934,1.00645,1.80778,0.9376,0.93069,0.97562,0.69531,1.06909,0.75052,1.57694,0.0013598,0.0013598,0.0013598
99,7201.55,1.33581,0.98562,1.78176,0.96993,0.95817,0.98369,0.68936,1.10223,0.70198,1.66313,0.0013532,0.0013532,0.0013532
100,7273,1.32405,0.96141,1.80006,0.92719,0.94554,0.97233,0.68538,1.06131,0.80895,1.58876,0.0013466,0.0013466,0.0013466
101,7344.23,1.25328,0.96058,1.74057,0.95411,0.92627,0.97594,0.69123,1.06111,0.81541,1.59137,0.00134,0.00134,0.00134
102,7416.34,1.2997,0.92578,1.77001,0.95925,0.9505,0.97957,0.70656,1.02571,0.7147,1.58195,0.0013334,0.0013334,0.0013334
103,7487.97,1.28981,0.94612,1.78183,0.96493,0.95353,0.97627,0.71225,1.02891,0.69243,1.58421,0.0013268,0.0013268,0.0013268
104,7559.5,1.29369,0.99598,1.75934,0.9608,0.97065,0.97971,0.69833,1.06414,0.69485,1.60658,0.0013202,0.0013202,0.0013202
105,7630.2,1.32744,0.96956,1.77484,0.95525,0.95107,0.9781,0.71414,1.02557,0.85125,1.5493,0.0013136,0.0013136,0.0013136
106,7701.23,1.30328,0.96296,1.81824,0.97879,0.9703,0.98184,0.69904,1.08649,0.73958,1.64183,0.001307,0.001307,0.001307
107,7772.21,1.2499,0.92436,1.77497,0.9506,0.95269,0.97348,0.70932,1.03085,0.71549,1.55589,0.0013004,0.0013004,0.0013004
108,7843.66,1.29465,0.97721,1.78829,0.89283,0.94863,0.95884,0.66583,1.0714,0.91921,1.57532,0.0012938,0.0012938,0.0012938
109,7914.6,1.29118,0.99782,1.76983,0.98445,0.94037,0.9819,0.69818,1.06206,0.70517,1.59023,0.0012872,0.0012872,0.0012872
110,7985.96,1.3352,0.96712,1.82967,0.96982,0.95435,0.98375,0.69884,1.07295,0.6968,1.6385,0.0012806,0.0012806,0.0012806
111,8057.03,1.30281,0.9212,1.75601,0.93824,0.93564,0.97149,0.66035,1.12324,0.78402,1.62118,0.001274,0.001274,0.001274
112,8128.22,1.30561,1.01578,1.78273,0.94826,0.89109,0.96844,0.69072,1.04979,0.76079,1.57159,0.0012674,0.0012674,0.0012674
113,8199.46,1.3084,0.95652,1.79883,0.98458,0.94857,0.98336,0.71483,1.03613,0.69566,1.58475,0.0012608,0.0012608,0.0012608
114,8271.44,1.26201,0.93073,1.76322,0.94937,0.92827,0.97891,0.71573,1.00862,0.78327,1.57449,0.0012542,0.0012542,0.0012542
115,8342.96,1.21709,0.91999,1.72492,0.95255,0.9604,0.97908,0.72248,0.98441,0.71298,1.52843,0.0012476,0.0012476,0.0012476
116,8414.06,1.20447,0.86097,1.68951,0.95683,0.94059,0.9823,0.72665,0.96735,0.69182,1.48636,0.001241,0.001241,0.001241
117,8485.16,1.25749,0.88806,1.7291,0.95043,0.94922,0.98049,0.72707,0.95256,0.67287,1.4969,0.0012344,0.0012344,0.0012344
118,8555.82,1.21167,0.91101,1.69732,0.96426,0.9604,0.98303,0.71809,1.03368,0.68412,1.5578,0.0012278,0.0012278,0.0012278
119,8638.29,1.36089,0.98456,1.82876,0.95618,0.9722,0.98027,0.7181,1.05146,0.68958,1.58977,0.0012212,0.0012212,0.0012212
120,8710.43,1.27514,0.93109,1.74811,0.96251,0.98515,0.98258,0.72156,1.00558,0.67296,1.55879,0.0012146,0.0012146,0.0012146
121,8782.38,1.21055,0.85108,1.70976,0.98743,0.9802,0.98522,0.73416,0.97953,0.62638,1.52029,0.001208,0.001208,0.001208
122,8854.27,1.25876,0.86902,1.74061,0.98853,0.9703,0.98441,0.73487,0.96708,0.63188,1.50586,0.0012014,0.0012014,0.0012014
123,8927.03,1.19354,0.85453,1.69922,0.96443,0.9703,0.97982,0.71036,1.02629,0.7226,1.56148,0.0011948,0.0011948,0.0011948
124,8999.04,1.23982,0.92201,1.72757,0.97529,0.94059,0.98351,0.72413,1.00981,0.67753,1.53621,0.0011882,0.0011882,0.0011882
125,9070.64,1.24157,0.97527,1.73669,0.97269,0.9802,0.98539,0.73869,0.94386,0.64128,1.49121,0.0011816,0.0011816,0.0011816
126,9142.52,1.18649,0.88433,1.71015,0.91405,0.9505,0.95392,0.71135,0.94785,0.80459,1.47981,0.001175,0.001175,0.001175
127,9213.02,1.24133,0.94899,1.76105,0.97035,0.96535,0.98149,0.71984,0.9992,0.66885,1.55097,0.0011684,0.0011684,0.0011684
128,9284.24,1.16976,0.85584,1.68225,0.9631,0.9505,0.98894,0.73398,0.97236,0.66112,1.51667,0.0011618,0.0011618,0.0011618
129,9355.21,1.25107,0.92459,1.77108,0.97932,0.96535,0.98824,0.74265,0.94185,0.6328,1.48105,0.0011552,0.0011552,0.0011552
130,9426.83,1.20653,0.85304,1.72543,0.98617,0.97525,0.98987,0.75655,0.92242,0.59886,1.45506,0.0011486,0.0011486,0.0011486
131,9498.62,1.26922,0.88214,1.7302,0.98962,0.97525,0.99013,0.74631,0.9599,0.60622,1.49991,0.001142,0.001142,0.001142
132,9571,1.22197,0.86844,1.71907,0.98633,0.97525,0.99132,0.74932,0.93538,0.60744,1.47135,0.0011354,0.0011354,0.0011354
133,9642.29,1.20347,0.84743,1.68057,0.9897,0.96535,0.98587,0.75798,0.90852,0.60258,1.44952,0.0011288,0.0011288,0.0011288
134,9712.84,1.12409,0.86705,1.63611,0.98475,0.95921,0.98017,0.74443,0.93137,0.62733,1.45794,0.0011222,0.0011222,0.0011222
135,9783.3,1.19962,0.85838,1.67713,0.97202,0.97525,0.98328,0.7304,0.97477,0.63582,1.47128,0.0011156,0.0011156,0.0011156
136,9853.8,1.18617,0.83641,1.70221,0.98189,0.98515,0.99018,0.75616,0.93101,0.61922,1.46593,0.001109,0.001109,0.001109
137,9924.74,1.17712,0.8252,1.66696,0.98989,0.96926,0.98821,0.75245,0.9268,0.62968,1.44199,0.0011024,0.0011024,0.0011024
138,9995.13,1.17964,0.86401,1.64844,0.98262,0.97525,0.98931,0.75393,0.92282,0.63369,1.46322,0.0010958,0.0010958,0.0010958
139,10066,1.23033,0.87018,1.72313,0.97446,0.97525,0.99123,0.7646,0.87508,0.59286,1.42462,0.0010892,0.0010892,0.0010892
140,10136.3,1.17654,0.80259,1.66777,0.98714,0.9703,0.99189,0.76857,0.89406,0.58324,1.42493,0.0010826,0.0010826,0.0010826
141,10207.4,1.11978,0.78755,1.6229,0.99657,0.98515,0.99139,0.77233,0.88427,0.56584,1.43487,0.001076,0.001076,0.001076
142,10278.8,1.12506,0.78249,1.6125,0.99324,0.97525,0.98862,0.75921,0.91415,0.57148,1.43765,0.0010694,0.0010694,0.0010694
143,10349.3,1.13309,0.82621,1.63984,0.99497,0.98011,0.98884,0.76962,0.87111,0.57111,1.39931,0.0010628,0.0010628,0.0010628
144,10420.3,1.1535,0.78337,1.65317,0.97529,0.97687,0.98659,0.7577,0.87292,0.60717,1.39471,0.0010562,0.0010562,0.0010562
145,10491.5,1.20133,0.8522,1.65,0.98009,0.9747,0.98769,0.75857,0.88892,0.60492,1.40335,0.0010496,0.0010496,0.0010496
146,10562.8,1.07558,0.78749,1.56808,0.98993,0.97369,0.98923,0.75291,0.90045,0.58615,1.42067,0.001043,0.001043,0.001043
147,10634.5,1.15916,0.82016,1.64066,0.97918,0.97525,0.98707,0.76685,0.87238,0.55653,1.40837,0.0010364,0.0010364,0.0010364
148,10705.2,1.10742,0.8047,1.60714,0.9856,0.96535,0.98652,0.74993,0.89966,0.61105,1.41131,0.0010298,0.0010298,0.0010298
149,10776,1.10685,0.78569,1.59249,0.98769,0.96535,0.98685,0.75854,0.89644,0.5963,1.41203,0.0010232,0.0010232,0.0010232
150,10846.7,1.15023,0.75623,1.62242,0.99004,0.9844,0.98788,0.76751,0.89366,0.58042,1.38461,0.0010166,0.0010166,0.0010166
151,10917.2,1.07374,0.75556,1.5667,0.99711,0.9802,0.98885,0.75105,0.92145,0.59518,1.44569,0.00101,0.00101,0.00101
152,10987.8,1.131,0.79654,1.61609,0.97615,0.9703,0.98785,0.74491,0.92654,0.60289,1.43,0.0010034,0.0010034,0.0010034
153,11058.8,1.1419,0.81878,1.60749,0.98474,0.9604,0.99067,0.76403,0.86819,0.59203,1.37712,0.0009968,0.0009968,0.0009968
154,11130.1,1.11607,0.78484,1.60012,0.98098,0.97525,0.99195,0.7685,0.88341,0.55765,1.38435,0.0009902,0.0009902,0.0009902
155,11200.8,1.11088,0.7627,1.55894,0.99087,0.9802,0.99171,0.77583,0.89114,0.52844,1.39028,0.0009836,0.0009836,0.0009836
156,11271.9,1.0565,0.71876,1.53895,0.99322,0.97525,0.99036,0.77115,0.90497,0.53896,1.43075,0.000977,0.000977,0.000977
157,11342.7,1.20178,0.80684,1.69124,0.98999,0.97919,0.98989,0.76276,0.9014,0.56232,1.39676,0.0009704,0.0009704,0.0009704
158,11417.5,1.1209,0.78169,1.62074,0.98594,0.97525,0.98868,0.7791,0.83544,0.56032,1.33582,0.0009638,0.0009638,0.0009638
159,11489.1,1.05364,0.76299,1.54231,0.98728,0.9802,0.98989,0.7809,0.82946,0.54637,1.33114,0.0009572,0.0009572,0.0009572
160,11560,1.05234,0.68105,1.5511,0.98542,0.97525,0.98997,0.78399,0.83906,0.53229,1.3568,0.0009506,0.0009506,0.0009506
161,11631,1.09938,0.77131,1.59399,0.99293,0.9802,0.99349,0.78104,0.83615,0.52464,1.34727,0.000944,0.000944,0.000944
162,11701.7,1.14794,0.80502,1.63622,0.9903,0.98515,0.99396,0.77987,0.83404,0.53127,1.35679,0.0009374,0.0009374,0.0009374
163,11772.8,1.06418,0.73422,1.54953,0.99307,0.98515,0.9935,0.78713,0.81995,0.53672,1.32203,0.0009308,0.0009308,0.0009308
164,11843.6,1.03112,0.72163,1.51754,0.99499,0.98362,0.99287,0.77866,0.86039,0.51103,1.38436,0.0009242,0.0009242,0.0009242
165,11914.4,1.09734,0.73433,1.5994,0.99498,0.98117,0.9908,0.77834,0.86131,0.51638,1.37664,0.0009176,0.0009176,0.0009176
166,11985.5,1.12721,0.75564,1.61901,0.9791,0.97525,0.98779,0.79364,0.79671,0.55132,1.3146,0.000911,0.000911,0.000911
167,12055.9,1.03732,0.74891,1.53502,0.98347,0.9802,0.98864,0.8009,0.76925,0.53367,1.29342,0.0009044,0.0009044,0.0009044
168,12126.4,1.06485,0.74171,1.51638,0.97992,0.98515,0.9914,0.7661,0.85931,0.53618,1.33811,0.0008978,0.0008978,0.0008978
169,12196.5,1.03019,0.70292,1.55088,0.99494,0.97416,0.98964,0.78014,0.8363,0.52963,1.3398,0.0008912,0.0008912,0.0008912
170,12267.5,1.09426,0.7506,1.59513,0.98595,0.9703,0.9905,0.76095,0.87172,0.55274,1.36247,0.0008846,0.0008846,0.0008846
171,12337.9,1.06563,0.73665,1.54709,0.98993,0.97314,0.99228,0.8083,0.76051,0.54822,1.29556,0.000878,0.000878,0.000878
172,12408,1.0493,0.72062,1.56387,0.99741,0.9703,0.99321,0.81186,0.75543,0.52616,1.28043,0.0008714,0.0008714,0.0008714
173,12478.5,1.07909,0.78577,1.5575,0.99769,0.98515,0.99281,0.8044,0.77981,0.51679,1.29184,0.0008648,0.0008648,0.0008648
174,12549.3,1.01477,0.74401,1.52215,1,0.97997,0.99125,0.80461,0.7811,0.49427,1.29751,0.0008582,0.0008582,0.0008582
175,12619.5,1.08917,0.71914,1.55665,0.99805,0.9802,0.99,0.80112,0.80004,0.50818,1.32406,0.0008516,0.0008516,0.0008516
176,12690.8,1.06569,0.71822,1.53918,1,0.98398,0.99026,0.81203,0.74859,0.50968,1.27749,0.000845,0.000845,0.000845
177,12761.8,1.06999,0.73051,1.58097,0.99003,0.98313,0.9931,0.79139,0.79503,0.53412,1.29649,0.0008384,0.0008384,0.0008384
178,12832.2,1.04978,0.71114,1.53581,0.98728,0.9802,0.9931,0.79707,0.78985,0.52395,1.29715,0.0008318,0.0008318,0.0008318
179,12902.8,1.02175,0.67884,1.53597,0.99662,0.9703,0.99232,0.78742,0.813,0.50963,1.33615,0.0008252,0.0008252,0.0008252
180,12973.4,1.02261,0.68192,1.52264,0.99496,0.97709,0.99289,0.79826,0.79323,0.51086,1.31307,0.0008186,0.0008186,0.0008186
